Active;Authorship Confidence;ID (Link);Topic;Title;Citations;Date;Author Position;Co-Author count
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/21714641""; ""21714641"")";;"""Reduced lung-cancer mortality with low-dose computed tomographic screening.""";1771;2011-08-01;middle;10
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/26551272""; ""26551272"")";;"""A Randomized Trial of Intensive versus Standard Blood-Pressure Control.""";613;2015-11-01;middle;18
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/23121323""; ""23121323"")";;"""Strategies for multivessel revascularization in patients with diabetes.""";392;2012-12-01;middle;28
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/21045183""; ""21045183"")";;"""The National Lung Screening Trial: overview and study design.""";296;2011-01-01;middle;19
1;0.6;"=HYPERLINK(""http://europepmc.org/abstract/MED/18332436""; ""18332436"")";;"""Modeling targeted layered containment of an influenza pandemic in the United States.""";198;2008-03-01;middle;16
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/24004119""; ""24004119"")";;"""Results of the two incidence screenings in the National Lung Screening Trial.""";122;2013-09-01;middle;18
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/24756514""; ""24756514"")";;"""Effect of acetazolamide on visual function in patients with idiopathic intracranial hypertension and mild visual loss: the idiopathic intracranial hypertension treatment trial.""";74;2014-04-01;middle;10
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/6501427""; ""6501427"")";;"""Differential proliferative responses of cultured Schwann cells to axolemma- and myelin-enriched fractions. I. Biochemical studies.""";51;1984-12-01;middle;4
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/11533197""; ""11533197"")";;"""Development of an avian leukosis-sarcoma virus subgroup A pseudotyped lentiviral vector.""";50;2001-10-01;first;3
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/23582353""; ""23582353"")";;"""Long-term effects of vitamins C and E, β-carotene, and zinc on age-related macular degeneration: AREDS report no. 35.""";48;2013-08-01;middle;7
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/19752426""; ""19752426"")";;"""Change in area of geographic atrophy in the Age-Related Eye Disease Study: AREDS report number 26.""";48;2009-09-01;middle;7
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/24756302""; ""24756302"")";;"""The idiopathic intracranial hypertension treatment trial: clinical profile at baseline.""";42;2014-06-01;middle;10
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/26042592""; ""26042592"")";ebola;"""What factors might have led to the emergence of Ebola in West Africa?""";41;2015-01-01;middle;10
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/15941802""; ""15941802"")";;"""Multidrug resistance among persons with tuberculosis in California, 1994-2003.""";31;2005-06-01;middle;4
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/24513169""; ""24513169"")";;"""Methods of using real-time social media technologies for detection and remote monitoring of HIV outcomes.""";25;2014-06-01;last;2
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/18008232""; ""18008232"")";;"""Transmission network analysis in tuberculosis contact investigations.""";22;2007-11-01;middle;7
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/22295070""; ""22295070"")";;"""Clinical, epidemiologic, histopathologic and molecular features of an unexplained dermopathy.""";21;2012-01-01;middle;15
1;0.6;"=HYPERLINK(""http://europepmc.org/abstract/MED/23199265""; ""23199265"")";ebola;"""Modeling of wildlife-associated zoonoses: applications and caveats.""";20;2012-12-01;middle;4
0;0;"=HYPERLINK(""http://europepmc.org/abstract/MED/19828505""; ""19828505"")";;"""Distribution of vaccine/antivirals and the 'least spread line' in a stratified population.""";18;2010-05-01;middle;7
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/16784541""; ""16784541"")";;"""Cost-effectiveness of tuberculosis evaluation and treatment of newly-arrived immigrants.""";17;2006-06-01;middle;5
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/27449080""; ""27449080"")";;"""Results from the centers for disease control and prevention's predict the 2013-2014 Influenza Season Challenge.""";12;2016-07-01;middle;13
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/25502594""; ""25502594"")";ebola;"""Opinion: Mathematical models: a key tool for outbreak response.""";12;2014-12-01;middle;18
1;0.4;"=HYPERLINK(""http://europepmc.org/abstract/MED/12843770""; ""12843770"")";;"""Bias due to secondary transmission in estimation of attributable risk from intervention trials.""";11;2003-07-01;middle;4
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/25685630""; ""25685630"")";ebola;"""Modeling the impact of interventions on an epidemic of ebola in sierra leone and liberia.""";9;2014-11-01;last;4
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/21829625""; ""21829625"")";;"""Sensitivity of household transmission to household contact structure and size.""";9;2011-01-01;middle;3
1;0.9;"=HYPERLINK(""http://europepmc.org/abstract/MED/25914859""; ""25914859"")";ebola;"""Modeling the impact of interventions on an epidemic of ebola in sierra leone and liberia.""";7;2014-01-01;last;4
